Task_ID,Date,Topic,Standard_Code,Status,File_ID
00ee068d,2026-06-21 10:07:56,decimals homework,6.NS.B.3,Open,
a9af5499,2026-06-21 10:15:12,small group activities for dividing decimals,TBD,Open,
a040d09c,2026-06-21 14:48:21,Week 4 Fractions Quiz,6.NS.B.3,Open,
7ec91e27,2026-08-01 09:18:45,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
fc55d5d9,2026-08-01 09:54:35,dividing fractions homework,pending,Approved,
82c70b74,2026-08-01 09:57:30,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
9070fd75,2026-08-01 09:59:29,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
465dcec6,2026-08-01 10:04:27,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
73918bb0,2026-08-01 10:33:42,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
7275db62,2026-08-01 14:01:05,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
51b39ee5,2026-08-01 14:54:51,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
d46f7ebe,2026-08-01 14:56:19,Fractions (regular),6.NS.A.1,Pending Approval,fake_id
f299d94a,2026-08-01 15:11:17,Fractions (regular),6.NS.A.1,Pending Approval,fake_id,
f8a12983,2026-08-01 15:13:03,Fractions (regular),6.NS.A.1,Pending Approval,fake_id,
708a50d2,2026-08-01 15:13:53,Fractions (regular),6.NS.A.1,Pending Approval,fake_id,
